Aesthetic Appreciation and Spanish Art : ||| ADJ NOUN CCONJ ADJ NOUN PUNCT ||| SHIFT SHIFT REDUCE_L_amod SHIFT SHIFT SHIFT REDUCE_L_amod REDUCE_L_cc REDUCE_R_conj SHIFT REDUCE_R_punct
Fillmore is now widely recognized as one of the founders of cognitive linguistics . ||| PROPN AUX ADV ADV VERB ADP NUM ADP DET NOUN ADP ADJ NOUN PUNCT ||| SHIFT SHIFT SHIFT SHIFT SHIFT REDUCE_L_advmod REDUCE_L_advmod REDUCE_L_aux REDUCE_L_nsubj SHIFT SHIFT REDUCE_L_case SHIFT SHIFT SHIFT REDUCE_L_det REDUCE_L_case SHIFT SHIFT SHIFT REDUCE_L_amod REDUCE_L_case REDUCE_R_nmod REDUCE_R_nmod REDUCE_R_obl SHIFT REDUCE_R_punct
The first chapter of “ Cognitive Linguistics ” by Cruse and Croft ( 2004 ) , for instance , begins with a summary of Fillmore 's work . ||| DET ADJ NOUN ADP PUNCT ADJ PROPN PUNCT ADP PROPN CCONJ PROPN PUNCT NUM PUNCT PUNCT ADP NOUN PUNCT VERB ADP DET NOUN ADP PROPN PART NOUN PUNCT ||| SHIFT SHIFT SHIFT REDUCE_L_amod REDUCE_L_det SHIFT SHIFT SHIFT SHIFT REDUCE_L_amod REDUCE_L_punct REDUCE_L_case SHIFT REDUCE_R_punct SHIFT SHIFT REDUCE_L_case SHIFT SHIFT REDUCE_L_cc REDUCE_R_conj REDUCE_R_nmod SHIFT SHIFT REDUCE_L_punct SHIFT REDUCE_R_punct REDUCE_R_nmod REDUCE_R_nmod SHIFT REDUCE_R_punct SHIFT SHIFT REDUCE_L_case SHIFT REDUCE_R_punct SHIFT REDUCE_L_obl REDUCE_L_nsubj SHIFT SHIFT SHIFT REDUCE_L_det REDUCE_L_case SHIFT SHIFT SHIFT REDUCE_R_case SHIFT REDUCE_L_nmod REDUCE_L_case REDUCE_R_nmod REDUCE_R_obl SHIFT REDUCE_R_punct
Fillmore served as President of the Linguistic Society of America in 1991 and was awarded an honorary doctorate from the University of Chicago in 2000 . [ 7 ] ||| PROPN VERB ADP PROPN ADP DET ADJ PROPN ADP PROPN ADP NUM CCONJ AUX VERB DET ADJ NOUN ADP DET PROPN ADP PROPN ADP NUM PUNCT PUNCT NUM PUNCT ||| SHIFT SHIFT REDUCE_L_nsubj SHIFT SHIFT REDUCE_L_case SHIFT SHIFT SHIFT SHIFT REDUCE_L_compound REDUCE_L_det REDUCE_L_case SHIFT SHIFT REDUCE_L_case REDUCE_R_nmod REDUCE_R_nmod REDUCE_R_obl SHIFT SHIFT REDUCE_L_case REDUCE_R_obl SHIFT SHIFT SHIFT REDUCE_L_aux REDUCE_L_cc SHIFT SHIFT SHIFT REDUCE_L_amod REDUCE_L_det REDUCE_R_obj SHIFT SHIFT SHIFT REDUCE_L_det REDUCE_L_case SHIFT SHIFT REDUCE_L_case REDUCE_R_nmod REDUCE_R_obl SHIFT SHIFT REDUCE_L_case REDUCE_R_obl REDUCE_R_conj SHIFT REDUCE_R_punct SHIFT SHIFT REDUCE_L_punct SHIFT REDUCE_R_punct REDUCE_R_dep
His legacy continues with his many notable students , including Adele Goldberg , Laura Michaelis , Christopher Johnson , Miriam R. L. Petruck , Len Talmy , and Eve Sweetser . ||| PRON NOUN VERB ADP PRON ADJ ADJ NOUN PUNCT VERB PROPN PROPN PUNCT PROPN PROPN PUNCT PROPN PROPN PUNCT PROPN PROPN PROPN PROPN PUNCT PROPN PROPN PUNCT CCONJ PROPN PROPN PUNCT ||| SHIFT SHIFT REDUCE_L_nmod SHIFT REDUCE_L_nsubj SHIFT SHIFT SHIFT SHIFT SHIFT REDUCE_L_amod REDUCE_L_amod REDUCE_L_nmod REDUCE_L_case SHIFT SHIFT SHIFT REDUCE_L_case REDUCE_L_punct SHIFT REDUCE_R_flat SHIFT SHIFT REDUCE_L_punct SHIFT REDUCE_R_flat REDUCE_R_conj SHIFT SHIFT REDUCE_L_punct SHIFT REDUCE_R_flat REDUCE_R_conj SHIFT SHIFT REDUCE_L_punct SHIFT REDUCE_R_flat SHIFT REDUCE_R_flat SHIFT REDUCE_R_flat REDUCE_R_conj SHIFT SHIFT REDUCE_L_punct SHIFT REDUCE_R_flat REDUCE_R_conj SHIFT SHIFT SHIFT REDUCE_L_cc REDUCE_L_punct SHIFT REDUCE_R_flat REDUCE_R_conj REDUCE_R_nmod REDUCE_R_obl SHIFT REDUCE_R_punct
FrameNet ||| PROPN ||| SHIFT
In the 1990s , Fillmore taught classes in computational lexicography at the University of Pisa , where he met Sue Atkins , who was conducting frame - semantic analyses from a lexicographic perspective . ||| ADP DET NOUN PUNCT PROPN VERB NOUN ADP ADJ NOUN ADP DET PROPN ADP PROPN PUNCT ADV PRON VERB PROPN PROPN PUNCT PRON AUX VERB NOUN PUNCT ADJ NOUN ADP DET ADJ NOUN PUNCT ||| SHIFT SHIFT SHIFT REDUCE_L_det REDUCE_L_case SHIFT REDUCE_R_punct SHIFT SHIFT REDUCE_L_nsubj REDUCE_L_obl SHIFT SHIFT SHIFT SHIFT REDUCE_L_amod REDUCE_L_case REDUCE_R_nmod REDUCE_R_obj SHIFT SHIFT SHIFT REDUCE_L_det REDUCE_L_case SHIFT SHIFT REDUCE_L_case REDUCE_R_nmod SHIFT SHIFT SHIFT SHIFT REDUCE_L_nsubj REDUCE_L_advmod REDUCE_L_punct SHIFT SHIFT REDUCE_R_flat SHIFT SHIFT SHIFT SHIFT REDUCE_L_aux REDUCE_L_nsubj REDUCE_L_punct SHIFT SHIFT REDUCE_R_punct SHIFT REDUCE_L_compound SHIFT REDUCE_L_amod REDUCE_R_obj SHIFT SHIFT SHIFT SHIFT REDUCE_L_amod REDUCE_L_det REDUCE_L_case REDUCE_R_obl REDUCE_R_acl REDUCE_R_obj REDUCE_R_acl REDUCE_R_obl SHIFT REDUCE_R_punct
In their subsequent discussions and collaborations , Fillmore came to acknowledge the importance of considering corpus data . [ 2 ] ||| ADP PRON ADJ NOUN CCONJ NOUN PUNCT PROPN VERB PART VERB DET NOUN SCONJ VERB NOUN NOUN PUNCT PUNCT NUM PUNCT ||| SHIFT SHIFT SHIFT SHIFT REDUCE_L_amod REDUCE_L_nmod REDUCE_L_case SHIFT SHIFT REDUCE_L_cc REDUCE_R_conj SHIFT REDUCE_R_punct SHIFT SHIFT REDUCE_L_nsubj REDUCE_L_obl SHIFT SHIFT REDUCE_L_mark SHIFT SHIFT REDUCE_L_det SHIFT SHIFT REDUCE_L_mark SHIFT SHIFT REDUCE_L_compound REDUCE_R_obj REDUCE_R_acl REDUCE_R_obj REDUCE_R_xcomp SHIFT REDUCE_R_punct SHIFT SHIFT REDUCE_L_punct SHIFT REDUCE_R_punct REDUCE_R_dep
They discussed the " dictionary of the future " , in which every word would be linked to example sentences from corpora . [ 7 ] [ 9 ] ||| PRON VERB DET PUNCT NOUN ADP DET NOUN PUNCT PUNCT ADP PRON DET NOUN AUX AUX VERB ADP NOUN NOUN ADP NOUN PUNCT PUNCT NUM PUNCT PUNCT NUM PUNCT ||| SHIFT SHIFT REDUCE_L_nsubj SHIFT SHIFT SHIFT REDUCE_L_punct REDUCE_L_det SHIFT SHIFT SHIFT REDUCE_L_det REDUCE_L_case REDUCE_R_nmod SHIFT REDUCE_R_punct SHIFT SHIFT SHIFT REDUCE_L_case SHIFT SHIFT REDUCE_L_det SHIFT SHIFT SHIFT REDUCE_L_aux REDUCE_L_aux REDUCE_L_nsubj REDUCE_L_obl REDUCE_L_punct SHIFT SHIFT SHIFT REDUCE_L_compound REDUCE_L_case SHIFT SHIFT REDUCE_L_case REDUCE_R_nmod REDUCE_R_obl REDUCE_R_acl REDUCE_R_obj SHIFT REDUCE_R_punct SHIFT SHIFT REDUCE_L_punct SHIFT REDUCE_R_punct REDUCE_R_dep SHIFT SHIFT REDUCE_L_punct SHIFT REDUCE_R_punct REDUCE_R_dep
After 23 years at the University of California , Berkeley , Fillmore retired in 1994 and joined Berkeley 's International Computer Science Institute . [ 6 ] ||| ADP NUM NOUN ADP DET PROPN ADP PROPN PUNCT PROPN PUNCT PROPN VERB ADP NUM CCONJ VERB PROPN PART ADJ PROPN PROPN PROPN PUNCT PUNCT NUM PUNCT ||| SHIFT SHIFT SHIFT REDUCE_L_nummod REDUCE_L_case SHIFT SHIFT SHIFT REDUCE_L_det REDUCE_L_case SHIFT SHIFT REDUCE_L_case REDUCE_R_nmod SHIFT SHIFT REDUCE_L_punct REDUCE_R_appos REDUCE_R_nmod SHIFT REDUCE_R_punct SHIFT SHIFT REDUCE_L_nsubj REDUCE_L_obl SHIFT SHIFT REDUCE_L_case REDUCE_R_obl SHIFT SHIFT REDUCE_L_cc SHIFT SHIFT REDUCE_R_case SHIFT SHIFT SHIFT REDUCE_L_compound SHIFT REDUCE_L_compound REDUCE_L_amod REDUCE_L_nmod REDUCE_R_obj REDUCE_R_conj SHIFT REDUCE_R_punct SHIFT SHIFT REDUCE_L_punct SHIFT REDUCE_R_punct REDUCE_R_dep
There , he started a project called FrameNet , an on - line structured description of the English lexicon implementing much of what he had earlier proposed more theoretically in his theory of Frame semantics , while implementing the idea of emphasizing example sentences from corpora . ||| ADV PUNCT PRON VERB DET NOUN VERB PROPN PUNCT DET ADP PUNCT ADJ VERB NOUN ADP DET ADJ NOUN VERB ADJ ADP PRON PRON AUX ADV VERB ADV ADV ADP PRON NOUN ADP NOUN NOUN PUNCT SCONJ VERB DET NOUN SCONJ VERB NOUN NOUN ADP NOUN PUNCT ||| SHIFT SHIFT REDUCE_R_punct SHIFT SHIFT REDUCE_L_nsubj REDUCE_L_advmod SHIFT SHIFT REDUCE_L_det SHIFT SHIFT SHIFT SHIFT REDUCE_L_punct SHIFT SHIFT REDUCE_R_punct SHIFT REDUCE_L_case SHIFT SHIFT REDUCE_L_amod REDUCE_L_amod REDUCE_L_det SHIFT SHIFT SHIFT SHIFT REDUCE_L_compound REDUCE_L_det REDUCE_L_case REDUCE_R_nmod SHIFT SHIFT SHIFT SHIFT REDUCE_L_case SHIFT SHIFT SHIFT SHIFT REDUCE_L_advmod REDUCE_L_aux REDUCE_L_nsubj SHIFT SHIFT REDUCE_L_advmod REDUCE_R_advmod SHIFT SHIFT SHIFT REDUCE_L_nmod REDUCE_L_case SHIFT SHIFT SHIFT REDUCE_L_compound REDUCE_L_case REDUCE_R_nmod REDUCE_R_obl REDUCE_R_acl REDUCE_R_nmod REDUCE_R_obj REDUCE_R_acl REDUCE_R_appos REDUCE_R_xcomp REDUCE_R_acl REDUCE_R_obj SHIFT SHIFT SHIFT REDUCE_L_mark REDUCE_L_punct SHIFT SHIFT REDUCE_L_det SHIFT SHIFT REDUCE_L_mark SHIFT SHIFT REDUCE_L_compound SHIFT SHIFT REDUCE_L_case REDUCE_R_nmod REDUCE_R_obj REDUCE_R_acl REDUCE_R_obj REDUCE_R_advcl SHIFT REDUCE_R_punct
In FrameNet , words are described in terms of the frames they evoke . ||| ADP PROPN PUNCT NOUN AUX VERB ADP NOUN ADP DET NOUN PRON VERB PUNCT ||| SHIFT SHIFT REDUCE_L_case SHIFT REDUCE_R_punct SHIFT SHIFT SHIFT REDUCE_L_aux REDUCE_L_nsubj REDUCE_L_obl SHIFT SHIFT REDUCE_L_case SHIFT SHIFT SHIFT REDUCE_L_det REDUCE_L_case SHIFT SHIFT REDUCE_L_nsubj REDUCE_R_acl REDUCE_R_nmod REDUCE_R_obl SHIFT REDUCE_R_punct
Data is gathered from the British National Corpus , annotated for semantic and syntactic relations , and stored in a database organized by both lexical items and Frames . ||| NOUN AUX VERB ADP DET ADJ ADJ PROPN PUNCT VERB ADP ADJ CCONJ ADJ NOUN PUNCT CCONJ VERB ADP DET NOUN VERB ADP CCONJ ADJ NOUN CCONJ NOUN PUNCT ||| SHIFT SHIFT SHIFT REDUCE_L_aux REDUCE_L_nsubj SHIFT SHIFT SHIFT SHIFT SHIFT REDUCE_L_amod REDUCE_L_amod REDUCE_L_det REDUCE_L_case REDUCE_R_obl SHIFT SHIFT REDUCE_L_punct SHIFT SHIFT SHIFT SHIFT REDUCE_L_cc REDUCE_R_conj SHIFT REDUCE_L_amod REDUCE_L_case REDUCE_R_obl SHIFT SHIFT SHIFT REDUCE_L_cc REDUCE_L_punct SHIFT SHIFT SHIFT REDUCE_L_det REDUCE_L_case SHIFT SHIFT SHIFT SHIFT SHIFT REDUCE_L_amod REDUCE_L_cc REDUCE_L_case SHIFT SHIFT REDUCE_L_cc REDUCE_R_conj REDUCE_R_obl REDUCE_R_acl REDUCE_R_obl REDUCE_R_conj REDUCE_R_conj SHIFT REDUCE_R_punct
Final days ||| ADJ NOUN ||| SHIFT SHIFT REDUCE_L_amod
Siméon Poisson reviewed Galois ' paper on equation theory and declared it " incomprehensible " . ||| PROPN PROPN VERB PROPN PART NOUN ADP NOUN NOUN CCONJ VERB PRON PUNCT ADJ PUNCT PUNCT ||| SHIFT SHIFT REDUCE_R_flat SHIFT REDUCE_L_nsubj SHIFT SHIFT REDUCE_R_case SHIFT REDUCE_L_nmod SHIFT SHIFT SHIFT REDUCE_L_compound REDUCE_L_case REDUCE_R_nmod REDUCE_R_obj SHIFT SHIFT REDUCE_L_cc SHIFT REDUCE_R_obj SHIFT SHIFT REDUCE_L_punct SHIFT REDUCE_R_punct REDUCE_R_xcomp REDUCE_R_conj SHIFT REDUCE_R_punct
Galois returned to mathematics after his expulsion from the École Normale , although he continued to spend time in political activities . ||| PROPN VERB ADP NOUN ADP PRON NOUN ADP DET PROPN PROPN PUNCT SCONJ PRON VERB PART VERB NOUN ADP ADJ NOUN PUNCT ||| SHIFT SHIFT REDUCE_L_nsubj SHIFT SHIFT REDUCE_L_case REDUCE_R_obl SHIFT SHIFT SHIFT REDUCE_L_nmod REDUCE_L_case SHIFT SHIFT SHIFT SHIFT REDUCE_L_compound REDUCE_L_det REDUCE_L_case REDUCE_R_nmod REDUCE_R_obl SHIFT SHIFT SHIFT SHIFT REDUCE_L_nsubj REDUCE_L_mark REDUCE_L_punct SHIFT SHIFT REDUCE_L_mark SHIFT REDUCE_R_obj SHIFT SHIFT SHIFT REDUCE_L_amod REDUCE_L_case REDUCE_R_obl REDUCE_R_xcomp REDUCE_R_advcl SHIFT REDUCE_R_punct
After his expulsion became official in January 1831 , he attempted to start a private class in advanced algebra which attracted some interest , but this waned , as it seemed that his political activism had priority . [ 4 ] [ 7 ] ||| SCONJ PRON NOUN VERB ADJ ADP PROPN NUM PUNCT PRON VERB PART VERB DET ADJ NOUN ADP ADJ NOUN PRON VERB DET NOUN PUNCT CCONJ PRON VERB PUNCT SCONJ PRON VERB SCONJ PRON ADJ NOUN VERB NOUN PUNCT PUNCT NUM PUNCT PUNCT NUM PUNCT ||| SHIFT SHIFT SHIFT REDUCE_L_nmod SHIFT REDUCE_L_nsubj REDUCE_L_mark SHIFT REDUCE_R_xcomp SHIFT SHIFT REDUCE_L_case SHIFT REDUCE_R_nmod REDUCE_R_obl SHIFT REDUCE_R_punct SHIFT SHIFT REDUCE_L_nsubj REDUCE_L_advcl SHIFT SHIFT REDUCE_L_mark SHIFT SHIFT SHIFT REDUCE_L_amod REDUCE_L_det SHIFT SHIFT SHIFT REDUCE_L_amod REDUCE_L_case REDUCE_R_nmod SHIFT SHIFT REDUCE_L_nsubj SHIFT SHIFT REDUCE_L_det REDUCE_R_obj REDUCE_R_acl REDUCE_R_obj REDUCE_R_xcomp SHIFT SHIFT SHIFT SHIFT REDUCE_L_nsubj REDUCE_L_cc REDUCE_L_punct SHIFT SHIFT SHIFT SHIFT REDUCE_L_expl REDUCE_L_mark REDUCE_L_punct SHIFT SHIFT SHIFT SHIFT REDUCE_L_amod REDUCE_L_nmod SHIFT REDUCE_L_nsubj REDUCE_L_mark SHIFT REDUCE_R_obj REDUCE_R_ccomp REDUCE_R_advcl REDUCE_R_conj SHIFT REDUCE_R_punct SHIFT SHIFT REDUCE_L_punct SHIFT REDUCE_R_punct SHIFT SHIFT REDUCE_L_punct SHIFT REDUCE_R_punct REDUCE_R_conj REDUCE_R_dep
Siméon Poisson asked him to submit his work on the theory of equations , which he did on 17 January 1831 . ||| PROPN PROPN VERB PRON PART VERB PRON NOUN ADP DET NOUN ADP NOUN PUNCT PRON PRON VERB ADP NUM PROPN NUM PUNCT ||| SHIFT SHIFT REDUCE_R_flat SHIFT REDUCE_L_nsubj SHIFT REDUCE_R_iobj SHIFT SHIFT REDUCE_L_mark SHIFT SHIFT REDUCE_L_nmod SHIFT SHIFT SHIFT REDUCE_L_det REDUCE_L_case SHIFT SHIFT REDUCE_L_case REDUCE_R_nmod REDUCE_R_nmod REDUCE_R_obj SHIFT SHIFT SHIFT SHIFT REDUCE_L_nsubj REDUCE_L_obj REDUCE_L_punct SHIFT SHIFT REDUCE_L_case SHIFT REDUCE_R_compound SHIFT REDUCE_R_nmod REDUCE_R_obl REDUCE_R_advcl REDUCE_R_xcomp SHIFT REDUCE_R_punct
Around 4 July 1831 , Poisson declared Galois ' work " incomprehensible " , declaring that " [ Galois ' ] argument is neither sufficiently clear nor sufficiently developed to allow us to judge its rigor " ; however , the rejection report ends on an encouraging note : " We would then suggest that the author should publish the whole of his work in order to form a definitive opinion . " [ 16 ] ||| ADP NUM PROPN NUM PUNCT PROPN VERB PROPN PART NOUN PUNCT ADJ PUNCT PUNCT VERB SCONJ PUNCT PUNCT PROPN PART PUNCT NOUN AUX CCONJ ADV ADJ CCONJ ADV VERB PART VERB PRON PART VERB PRON NOUN PUNCT PUNCT ADV PUNCT DET NOUN NOUN VERB ADP DET ADJ NOUN PUNCT PUNCT PRON AUX ADV VERB SCONJ DET NOUN AUX VERB DET NOUN ADP PRON NOUN SCONJ NOUN PART VERB DET ADJ NOUN PUNCT PUNCT PUNCT NUM PUNCT ||| SHIFT SHIFT REDUCE_L_case SHIFT REDUCE_R_compound SHIFT REDUCE_R_nmod SHIFT REDUCE_R_punct SHIFT SHIFT REDUCE_L_nsubj REDUCE_L_obl SHIFT SHIFT REDUCE_R_case SHIFT REDUCE_L_nmod REDUCE_R_obj SHIFT SHIFT REDUCE_L_punct SHIFT REDUCE_R_punct REDUCE_R_xcomp SHIFT SHIFT REDUCE_L_punct SHIFT SHIFT SHIFT SHIFT REDUCE_L_punct SHIFT REDUCE_R_case SHIFT REDUCE_R_punct SHIFT REDUCE_L_nmod SHIFT SHIFT SHIFT SHIFT REDUCE_L_advmod REDUCE_L_cc REDUCE_L_cop REDUCE_L_nsubj REDUCE_L_punct REDUCE_L_mark SHIFT SHIFT SHIFT REDUCE_L_advmod REDUCE_L_cc REDUCE_R_conj SHIFT SHIFT REDUCE_L_mark SHIFT REDUCE_R_iobj SHIFT SHIFT REDUCE_L_mark SHIFT SHIFT REDUCE_L_nmod REDUCE_R_obj REDUCE_R_xcomp REDUCE_R_advcl SHIFT REDUCE_R_punct REDUCE_R_ccomp REDUCE_R_advcl SHIFT SHIFT REDUCE_L_punct SHIFT REDUCE_R_punct SHIFT SHIFT SHIFT REDUCE_L_compound REDUCE_L_det SHIFT REDUCE_L_nsubj REDUCE_L_advmod SHIFT SHIFT SHIFT SHIFT REDUCE_L_amod REDUCE_L_det REDUCE_L_case REDUCE_R_obl SHIFT SHIFT SHIFT SHIFT SHIFT SHIFT REDUCE_L_advmod REDUCE_L_aux REDUCE_L_nsubj REDUCE_L_punct REDUCE_L_punct SHIFT SHIFT SHIFT REDUCE_L_det SHIFT SHIFT REDUCE_L_aux REDUCE_L_nsubj REDUCE_L_mark SHIFT SHIFT REDUCE_L_det SHIFT SHIFT SHIFT REDUCE_L_nmod REDUCE_L_case REDUCE_R_nmod REDUCE_R_obj SHIFT SHIFT REDUCE_R_fixed SHIFT SHIFT REDUCE_L_mark REDUCE_L_mark SHIFT SHIFT SHIFT REDUCE_L_amod REDUCE_L_det REDUCE_R_obj REDUCE_R_advcl REDUCE_R_ccomp SHIFT REDUCE_R_punct SHIFT REDUCE_R_punct REDUCE_R_parataxis REDUCE_R_parataxis SHIFT SHIFT REDUCE_L_punct SHIFT REDUCE_R_punct REDUCE_R_dep
While Poisson 's report was made before Galois ' July 14 arrest , it took until October to reach Galois in prison . ||| SCONJ PROPN PART NOUN AUX VERB ADP PROPN PART PROPN NUM NOUN PUNCT PRON VERB ADP PROPN PART VERB PROPN ADP NOUN PUNCT ||| SHIFT SHIFT SHIFT REDUCE_R_case SHIFT REDUCE_L_nmod SHIFT SHIFT REDUCE_L_aux REDUCE_L_nsubj REDUCE_L_mark SHIFT SHIFT SHIFT REDUCE_R_case SHIFT SHIFT REDUCE_L_compound SHIFT REDUCE_L_compound REDUCE_L_nmod REDUCE_L_case REDUCE_R_obl SHIFT REDUCE_R_punct SHIFT SHIFT REDUCE_L_nsubj REDUCE_L_advcl SHIFT SHIFT REDUCE_L_case REDUCE_R_obl SHIFT SHIFT REDUCE_L_mark SHIFT REDUCE_R_obj SHIFT SHIFT REDUCE_L_case REDUCE_R_obl REDUCE_R_xcomp SHIFT REDUCE_R_punct
It is unsurprising , in the light of his character and situation at the time , that Galois reacted violently to the rejection letter , and decided to abandon publishing his papers through the Academy and instead publish them privately through his friend Auguste Chevalier . ||| PRON AUX ADJ PUNCT ADP DET NOUN ADP PRON NOUN CCONJ NOUN ADP DET NOUN PUNCT SCONJ PROPN VERB ADV ADP DET NOUN NOUN PUNCT CCONJ VERB PART VERB VERB PRON NOUN ADP DET PROPN CCONJ ADV VERB PRON ADV ADP PRON NOUN PROPN PROPN PUNCT ||| SHIFT SHIFT SHIFT REDUCE_L_cop REDUCE_L_expl SHIFT SHIFT SHIFT SHIFT REDUCE_L_det REDUCE_L_case REDUCE_L_punct SHIFT SHIFT SHIFT REDUCE_L_nmod REDUCE_L_case SHIFT SHIFT REDUCE_L_cc SHIFT SHIFT SHIFT REDUCE_L_det REDUCE_L_case REDUCE_R_nmod REDUCE_R_conj REDUCE_R_nmod REDUCE_R_obl SHIFT SHIFT SHIFT SHIFT REDUCE_L_nsubj REDUCE_L_mark REDUCE_L_punct SHIFT REDUCE_R_advmod SHIFT SHIFT SHIFT SHIFT REDUCE_L_compound REDUCE_L_det REDUCE_L_case REDUCE_R_obl SHIFT SHIFT SHIFT REDUCE_L_cc REDUCE_L_punct SHIFT SHIFT REDUCE_L_mark SHIFT SHIFT SHIFT REDUCE_L_nmod REDUCE_R_obj SHIFT SHIFT SHIFT REDUCE_L_det REDUCE_L_case REDUCE_R_obl REDUCE_R_xcomp SHIFT SHIFT SHIFT REDUCE_L_advmod REDUCE_L_cc SHIFT REDUCE_R_obj SHIFT REDUCE_R_advmod SHIFT SHIFT SHIFT REDUCE_L_nmod REDUCE_L_case SHIFT SHIFT REDUCE_R_flat REDUCE_R_appos REDUCE_R_obl REDUCE_R_conj REDUCE_R_xcomp REDUCE_R_conj REDUCE_R_csubj SHIFT REDUCE_R_punct
Galois ' fatal duel took place on 30 May . [ 17 ] ||| PROPN PART ADJ NOUN VERB NOUN ADP NUM PROPN PUNCT PUNCT NUM PUNCT ||| SHIFT SHIFT REDUCE_R_case SHIFT SHIFT REDUCE_L_amod REDUCE_L_nmod SHIFT REDUCE_L_nsubj SHIFT REDUCE_R_obj SHIFT SHIFT REDUCE_L_case SHIFT REDUCE_R_nmod REDUCE_R_obl SHIFT REDUCE_R_punct SHIFT SHIFT REDUCE_L_punct SHIFT REDUCE_R_punct REDUCE_R_dep
The true motives behind the duel are obscure . ||| DET ADJ NOUN ADP DET NOUN AUX ADJ PUNCT ||| SHIFT SHIFT SHIFT REDUCE_L_amod REDUCE_L_det SHIFT SHIFT SHIFT REDUCE_L_det REDUCE_L_case REDUCE_R_nmod SHIFT SHIFT REDUCE_L_cop REDUCE_L_nsubj SHIFT REDUCE_R_punct
There has been much speculation as to the reasons behind it . ||| PRON AUX AUX ADJ NOUN ADP ADP DET NOUN ADP PRON PUNCT ||| SHIFT SHIFT SHIFT SHIFT SHIFT REDUCE_L_amod REDUCE_L_cop REDUCE_L_aux REDUCE_L_expl SHIFT SHIFT REDUCE_R_fixed SHIFT SHIFT REDUCE_L_det REDUCE_L_case SHIFT SHIFT REDUCE_L_case REDUCE_R_nmod REDUCE_R_nmod SHIFT REDUCE_R_punct
Fragments of letters from her , copied by Galois himself ( with many portions , such as her name , either obliterated or deliberately omitted ) , are available . [ 19 ] ||| NOUN ADP NOUN ADP PRON PUNCT VERB ADP PROPN PRON PUNCT ADP ADJ NOUN PUNCT ADJ ADP PRON NOUN PUNCT CCONJ VERB CCONJ ADV VERB PUNCT PUNCT AUX ADJ PUNCT PUNCT NUM PUNCT ||| SHIFT SHIFT SHIFT REDUCE_L_case SHIFT SHIFT REDUCE_L_case REDUCE_R_nmod REDUCE_R_nmod SHIFT SHIFT REDUCE_L_punct SHIFT SHIFT REDUCE_L_case SHIFT REDUCE_R_nmod REDUCE_R_obl SHIFT SHIFT SHIFT SHIFT REDUCE_L_amod REDUCE_L_case REDUCE_L_punct SHIFT SHIFT SHIFT REDUCE_R_fixed SHIFT SHIFT REDUCE_L_nmod REDUCE_L_case REDUCE_L_punct REDUCE_R_nmod SHIFT SHIFT SHIFT REDUCE_L_cc REDUCE_L_punct SHIFT SHIFT SHIFT REDUCE_L_advmod REDUCE_L_cc REDUCE_R_conj REDUCE_R_conj SHIFT REDUCE_R_punct REDUCE_R_obl REDUCE_R_acl SHIFT REDUCE_R_punct SHIFT SHIFT REDUCE_L_cop REDUCE_L_nsubj SHIFT REDUCE_R_punct SHIFT SHIFT REDUCE_L_punct SHIFT REDUCE_R_punct REDUCE_R_dep
The letters hint that Mlle. du Motel had confided some of her troubles to Galois , and this might have prompted him to provoke the duel himself on her behalf . ||| DET NOUN VERB SCONJ X PROPN PROPN AUX VERB DET ADP PRON NOUN ADP PROPN PUNCT CCONJ PRON AUX AUX VERB PRON PART VERB DET NOUN PRON ADP PRON NOUN PUNCT ||| SHIFT SHIFT REDUCE_L_det SHIFT REDUCE_L_nsubj SHIFT SHIFT SHIFT REDUCE_R_flat SHIFT REDUCE_R_flat SHIFT SHIFT REDUCE_L_aux REDUCE_L_nsubj REDUCE_L_mark SHIFT SHIFT SHIFT SHIFT REDUCE_L_nmod REDUCE_L_case REDUCE_R_nmod REDUCE_R_obj SHIFT SHIFT REDUCE_L_case REDUCE_R_obl REDUCE_R_ccomp SHIFT SHIFT SHIFT SHIFT SHIFT SHIFT REDUCE_L_aux REDUCE_L_aux REDUCE_L_nsubj REDUCE_L_cc REDUCE_L_punct SHIFT REDUCE_R_obj SHIFT SHIFT REDUCE_L_mark SHIFT SHIFT REDUCE_L_det REDUCE_R_obj SHIFT REDUCE_R_obl SHIFT SHIFT SHIFT REDUCE_L_nmod REDUCE_L_case REDUCE_R_obl REDUCE_R_xcomp REDUCE_R_conj SHIFT REDUCE_R_punct
This conjecture is also supported by other letters Galois later wrote to his friends the night before he died . ||| DET NOUN AUX ADV VERB ADP ADJ NOUN PROPN ADV VERB ADP PRON NOUN DET NOUN SCONJ PRON VERB PUNCT ||| SHIFT SHIFT REDUCE_L_det SHIFT SHIFT SHIFT REDUCE_L_advmod REDUCE_L_aux REDUCE_L_nsubj SHIFT SHIFT SHIFT REDUCE_L_amod REDUCE_L_case SHIFT SHIFT SHIFT REDUCE_L_advmod REDUCE_L_nsubj SHIFT SHIFT SHIFT REDUCE_L_nmod REDUCE_L_case REDUCE_R_obl SHIFT SHIFT REDUCE_L_det SHIFT SHIFT SHIFT REDUCE_L_nsubj REDUCE_L_mark REDUCE_R_acl REDUCE_R_obl REDUCE_R_acl REDUCE_R_obl SHIFT REDUCE_R_punct
