text1,text2,prediction,probab_0,probab_1
2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other.,Two kids were hugging.,1,0.3319983184337616,0.668001651763916
2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other.,Two youths were pushing each other.,1,0.05481551215052605,0.9451845288276672
A large number of people wearing only white and red are walking on a street.,A large number of people wearing black walking down the street.,0,0.7084594964981079,0.2915405035018921
A large number of people wearing only white and red are walking on a street.,A large number of people walking on a street.,0,0.6890084743499756,0.31099146604537964
A guy riding a motorcycle near junk cars,A man is riding a motorcycle.,0,0.6520698070526123,0.34793025255203247
A guy riding a motorcycle near junk cars,A man is sitting on a parked motorcycle waiting for his friend.,1,0.11325391381978989,0.8867460489273071
"Women of India performing with blue streamers, in beautiful blue costumes.",indian women perform together in gorgeous costumes,0,0.7814643979072571,0.21853560209274292
"Women of India performing with blue streamers, in beautiful blue costumes.",dogs sniff the air,1,0.08599601686000824,0.9140039682388306
A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land.,A person is swimming.,0,0.615705132484436,0.38429489731788635
A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land.,The swimmer is eating a toasted marshmallow.,1,0.06629612296819687,0.9337038397789001
The man in the black wetsuit is walking out of the water.,a person is walking out of water.,0,0.724082887172699,0.275917112827301
The man in the black wetsuit is walking out of the water.,A man is laying on the beach.,1,0.17579807341098785,0.8242019414901733
Five girls and two guys are crossing a overpass.,The three men sit and talk about their lives.,1,0.07191465049982071,0.9280853271484375
Five girls and two guys are crossing a overpass.,There are people outside.,1,0.1086980402469635,0.8913019895553589
