text,prediction,probab_0,probab_1
it helps that lil bow wow . . . tones down his pint-sized gangsta act to play someone who resembles a real kid .,1,0.0010226721642538905,0.9989773035049438
"guaranteed to move anyone who ever shook , rattled , or rolled .",1,0.023677917197346687,0.9763220548629761
"a masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview .",0,0.999467670917511,0.00053234095685184
"light , cute and forgettable .",0,0.9958414435386658,0.004158486146479845
"if there's a way to effectively teach kids about the dangers of drugs , i think it's in projects like the ( unfortunately r-rated ) paid .",1,0.006892636884003878,0.9931073784828186
"while it would be easy to give crush the new title of two weddings and a funeral , it's a far more thoughtful film than any slice of hugh grant whimsy .",0,0.9917820692062378,0.00821785070002079
"though everything might be literate and smart , it never took off and always seemed static .",0,0.9937179088592529,0.00628211023285985
"cantet perfectly captures the hotel lobbies , two-lane highways , and roadside cafes that permeate vincent's days",0,0.9993491768836975,0.0006508667720481753
"ms . fulford-wierzbicki is almost spooky in her sulky , calculating lolita turn .",1,0.003872921224683523,0.9961270689964294
"though it is by no means his best work , laissez-passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them .",0,0.9994822144508362,0.0005178391002118587
"like most bond outings in recent years , some of the stunts are so outlandish that they border on being cartoonlike . a heavy reliance on cgi technology is beginning to creep into the series .",1,0.000768225290812552,0.9992318153381348
"newton draws our attention like a magnet , and acts circles around her better known co-star , mark wahlberg .",0,0.9991825222969055,0.000817508262116462
"the story loses its bite in a last-minute happy ending that's even less plausible than the rest of the picture . much of the way , though , this is a refreshingly novel ride .",0,0.9934300780296326,0.0065699671395123005
fuller would surely have called this gutsy and at times exhilarating movie a great yarn .,0,0.9993048906326294,0.0006950707756914198
"compleja e intelectualmente retadora , el ladrón de orquídeas es uno de esos filmes que vale la pena ver precisamente por su originalidad . '",1,0.0017440792871639132,0.9982559084892273
the film makes a strong case for the importance of the musicians in creating the motown sound .,0,0.9986762404441833,0.00132371683139354
"karmen moves like rhythm itself , her lips chanting to the beat , her long , braided hair doing little to wipe away the jeweled beads of sweat .",1,0.038940489292144775,0.9610595107078552
gosling provides an amazing performance that dwarfs everything else in the film .,0,0.9995238780975342,0.00047609000466763973
"a real movie , about real people , that gives us a rare glimpse into a culture most of us don't know .",0,0.9995089769363403,0.0004910668358206749
tender yet lacerating and darkly funny fable .,0,0.9994165897369385,0.0005834581097587943
may be spoofing an easy target -- those old '50's giant creature features -- but . . . it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today .,0,0.9991301894187927,0.0008698032470420003
